district	schoolName
247	197,282,284,819,958,1378,1659,1802,1805,2200,2254,2442,2472,3182,3183,3184,3185,3853,3950,3965,4638,4642,4665,5237,5260,5549,5579,6482,6570,6655,6896,7230,7442,7487,8253,8277,8352,8530,8541,8775,8957,9118,9555,9719,9787
248	3214
249	3216,3217
250	2229,3219,3220,6527,7487,9090
251	3225,3992,6215,8364
252	3228,6435,7492,8497,9117
253	3227,3229
254	2095,2102,3357,3517,5748,6379,6647,7175,8922,8929
255	3245,3246,4556,5537,5689
256	3284
257	105,1097,1408,1919,2044,3284,3369,4423,4784,4930,5360,5811,7379,7691,7730,7734,8164,8327,8719,8895,9609,10005
258	362,512,684,1103,1140,1249,1580,1794,2573,3213,3293,3313,3368,3523,3552,3871,4316,4349,4394,4487,4502,4509,4512,4532,4587,4599,5096,6012,6013,6017,6401,6546,6670,6968,7012,7713,8690,9086,9131,9362,9569,9674,9685,9697,9922,10115
259	1966,2187,3317,4139,5454,6061
260	3325
261	3327,3328
262	916,938,1416,2141,2684,4205,4710,6086,6358,7378,9547
263	127,157,160,432,591,681,683,696,966,1186,1187,1213,1319,1325,1481,1482,1568,1945,2026,2257,2292,2313,2389,2394,2643,2658,2679,2681,2685,2818,2930,2933,3024,3035,3133,3159,3218,3224,3316,3330,3360,3505,3776,3919,3975,4097,4133,4319,4345,4364,4433,4703,4704,4742,4756,4802,4822,4977,5045,5414,5541,5548,5653,5778,5793,5819,5935,6040,6160,6231,6448,6533,7080,7090,7095,7253,7322,7716,7749,7781,7842,7880,8189,8204,8253,8345,8431,8534,8660,8818,8830,8848,8961,8989,9064,9113,9238,9399,9440,9511,9541,9718,9728,9991,10002,10027,10034,10114
264	1945,2424,2903,3348,7329
265	81,820,1960,2209,3113,3585,3995,4913,4926,5579,6392,6738,6834,7450,7570,7686,7759,8835,9343,10045
266	1172,3355,3356,4856,4895,4906,8481,8809,9210
267	3065,4932,5604,7650,7703,9395,9479
268	2981,3382,5161
